COUNTRY,SOVEREIGN,GID,CONTINENT,SRI,SRI_category,coastflood,rivflood,watersc,heatwvs,pm25,cyclns
Germany,Germany,DEU,Europe,"4.617215892026944",Medium-High,"4.428426360795418","3.519832992123887","4.783599276805988","8.176010370791706","3.947164911525407","0.0"
Ghana,Ghana,GHA,Africa,"5.260181870277392",Medium-High,"4.80295750466031","6.152785981732311","1.122206190286281","8.929707977645231","5.813250692084303","0.0"
Greece,Greece,GRC,Europe,"5.796016404122129",High,"0.698859153262472","6.747419999169113","8.033917914091116","8.923258586326183","4.477697523663429","0.0"
Greenland,Denmark,GRL,North America,"0.634710158325625",Low,"0.0","0.0",,"2.831106193870513","0.0","0.0"
Guatemala,Guatemala,GTM,North America,"4.791912376731787",Medium-High,"0.0","4.436482459174305","4.673606440932512","8.82976276198098","5.282972211670756","1.080014141955237"
Guinea,Guinea,GIN,Africa,"5.939732896231263",High,"5.579129206984065","8.204787569726383","3.015958537942898","8.9495258943738","4.992424522504489","0.0"
Guinea-Bissau,Guinea-Bissau,GNB,Africa,"4.989329013623034",Medium-High,"5.724660821820094","7.209017603581458","0.0","8.199894572285531","4.143604612723279","0.0"
Guyana,Guyana,GUY,South America,"5.674242919843165",High,"6.934972332016608","8.034621202479734","1.496196928499446","8.503045861948443","3.896032734187504","0.0"
Haiti,Haiti,HTI,North America,"5.39863618686597",Medium-High,"0.0","0.0","0.0","9.188292176792867","4.459606510058312","9.13042761655531"
Honduras,Honduras,HND,North America,"5.605651406256274",High,"1.484107940195516","5.677251738082902","4.794146941705291","8.74016603958492","6.462307701639347","3.465874458826836"
Hungary,Hungary,HUN,Europe,"4.439608238904011",Medium-High,"0.0","4.717390152725411","2.898280592721676","9.087480379306433","4.389873057724564","0.0"
Iceland,Iceland,ISL,Europe,"2.973245989816014",Low-Medium,"2.03503073495434","2.545439472030071","0.0","8.387590300650219","0.0","0.0"
India,India,IND,Asia,"7.460665401630943",Extremely High,"4.55089534607538","8.453237129531297","7.774328048717057","9.03594251043793","8.399438749696172","3.883341854620058"
Indonesia,Indonesia,IDN,Asia,"7.920514990695287",Extremely High,"7.389049069827274","9.683364710321198","6.645611850361176","9.805199245602784","7.473749261529264","1.752187173494015"
Iran,Iran,IRN,Asia,"7.109410424512239",Extremely High,"1.23803862894219","5.539649889630311","9.323736226740516","9.478545311016363","8.808596805152538","0.0"
